"","Value","Std. Error","t value","Pr(>|t|)"
"(Intercept)[0.25]",-1.87784470285775,0.559497961903042,-3.35630302650356,0.000797824600621944
"Trt[0.25]",1.56557006663774,0.246197052920989,6.35901221425333,2.27607488412218e-10
"Small[0.25]",-0.310591272390005,0.243530226096434,-1.27537052532861,0.202257551678419
"tenure[0.25]",0.0132978383132793,0.00182084027257443,7.30313279729798,3.41948691584548e-13
"Trt:Small[0.25]",3.4490611402676,0.231311409137209,14.9108993505015,0
"(Intercept)[0.5]",0.601490766808648,0.704119329356121,0.854245497504916,0.393023837798135
"Trt[0.5]",0.773708618176259,0.279615232395869,2.76704745856217,0.00568454109255923
"Small[0.5]",-1.27969413676216,0.201550792723687,-6.34923891624946,2.42381226200905e-10
"tenure[0.5]",0.0086221955724237,0.00243869184007201,3.53558224567196,0.000411823516120569
"Trt:Small[0.5]",3.46944153649151,0.180314393769521,19.2410681363917,0
"(Intercept)[0.75]",3.3834946048854,0.724882554136992,4.66764524208149,3.1538304900991e-06
"Trt[0.75]",-0.0386877594191906,0.316734701478404,-0.122145629255683,0.902790265483993
"Small[0.75]",-1.57749108957127,0.276693814341072,-5.70121559575864,1.28180721592486e-08
"tenure[0.75]",0.000931152583976718,0.0024317979422381,0.38290705317389,0.701810500252554
"Trt:Small[0.75]",3.01281582099542,0.270298430120681,11.1462571930229,0
